Date,Username,User tag,Content,Mentions,link
"2022-04-13,14:48:00",leo7.,#0,.....,,
"2022-04-13,14:48:01",leo7.,#0,1,,
"2022-04-14,13:02:01",leo7.,#0,2,,
"2022-04-15,10:08:06",leo7.,#0,3,,
"2022-04-16,02:08:10",leo7.,#0,4,,
"2022-04-17,00:03:12",leo7.,#0,5,,
"2022-04-18,10:15:38",leo7.,#0,6,,
"2022-04-19,09:59:00",leo7.,#0,7,,
"2022-04-20,03:31:11",leo7.,#0,8,,
"2022-04-21,07:24:32",leo7.,#0,9,,
"2022-04-22,08:35:28",leo7.,#0,10,,
"2022-04-23,09:24:14",leo7.,#0,11,,
"2022-04-24,07:11:52",leo7.,#0,12,,
"2022-04-25,08:33:05",leo7.,#0,13,,
"2022-04-26,08:16:09",leo7.,#0,14,,
"2022-04-27,09:40:57",leo7.,#0,15,,
"2022-04-28,09:23:02",leo7.,#0,16,,
"2022-04-29,06:57:56",leo7.,#0,17,,
"2022-04-30,09:00:14",leo7.,#0,18,,
"2022-05-01,09:42:08",leo7.,#0,19,,
"2022-05-02,06:55:59",leo7.,#0,20,,
"2022-05-03,05:51:53",leo7.,#0,21,,
"2022-05-04,07:55:38",leo7.,#0,22,,
"2022-05-05,09:44:55",leo7.,#0,23,,
"2022-05-06,07:51:28",leo7.,#0,24,,
"2022-05-07,08:48:08",leo7.,#0,25,,
"2022-05-08,07:51:57",leo7.,#0,26,,
"2022-05-09,05:54:44",leo7.,#0,27,,
"2022-05-10,06:09:32",leo7.,#0,28,,
"2022-05-11,05:48:49",leo7.,#0,29,,
"2022-05-12,08:06:50",leo7.,#0,30,,
"2022-05-13,10:33:01",leo7.,#0,31,,
"2022-05-14,07:47:16",leo7.,#0,32,,
"2022-05-15,07:19:09",leo7.,#0,33,,
"2022-05-16,06:04:20",leo7.,#0,34,,
"2022-05-17,07:13:10",leo7.,#0,35,,
"2022-05-18,08:13:09",leo7.,#0,36,,
"2022-05-19,09:59:56",leo7.,#0,37,,
"2022-05-20,22:53:54",leo7.,#0,38,,
"2022-05-21,09:22:21",leo7.,#0,39,,
"2022-05-22,09:11:02",leo7.,#0,40,,
"2022-05-23,08:25:23",leo7.,#0,41,,
"2022-05-25,09:14:54",leo7.,#0,42,,
"2022-05-26,09:43:24",leo7.,#0,43,,
"2022-05-27,06:09:15",leo7.,#0,44,,
"2022-05-28,06:36:37",leo7.,#0,45,,
"2022-05-29,09:20:37",leo7.,#0,46,,
"2022-05-30,09:17:31",leo7.,#0,47,,
"2022-05-31,05:54:47",leo7.,#0,48,,
"2022-06-01,06:59:59",leo7.,#0,49,,
"2022-06-02,09:49:24",leo7.,#0,50,,
"2022-06-03,07:53:08",leo7.,#0,51,,
"2022-06-04,08:52:36",leo7.,#0,52,,
"2022-06-05,09:23:02",leo7.,#0,53,,
"2022-06-06,11:41:29",leo7.,#0,54,,
"2022-06-07,08:17:39",leo7.,#0,55,,
"2022-06-10,06:59:11",leo7.,#0,56,,
"2022-06-11,12:54:23",leo7.,#0,57,,
"2022-06-12,07:41:48",leo7.,#0,58,,
"2022-06-14,12:27:15",leo7.,#0,59,,
"2022-06-15,07:40:11",leo7.,#0,60,,
"2022-06-16,06:36:52",leo7.,#0,61,,
"2022-06-17,01:06:35",leo7.,#0,62,,
"2022-06-18,10:57:17",leo7.,#0,63,,
"2022-06-19,10:14:00",leo7.,#0,64,,
"2022-06-20,01:08:54",leo7.,#0,65,,
"2022-06-21,01:47:16",leo7.,#0,66,,
"2022-06-22,00:04:03",leo7.,#0,67,,
"2022-06-23,07:09:53",leo7.,#0,68,,
"2022-06-25,06:33:38",leo7.,#0,70,,
"2022-06-26,06:54:35",leo7.,#0,71,,
"2022-06-27,10:54:54",leo7.,#0,72,,
"2022-06-28,08:34:34",leo7.,#0,73,,
"2022-06-29,08:53:27",leo7.,#0,74,,
"2022-06-30,08:48:57",leo7.,#0,75,,
"2022-07-01,08:52:39",leo7.,#0,76,,
"2022-07-02,07:31:26",leo7.,#0,77,,
"2022-07-03,08:38:24",leo7.,#0,78,,
"2022-07-04,06:22:44",leo7.,#0,79,,
"2022-07-05,07:57:48",leo7.,#0,80,,
"2022-07-06,00:06:13",leo7.,#0,81,,
"2022-07-07,08:08:00",leo7.,#0,82,,
"2022-07-08,10:36:13",leo7.,#0,83,,
"2022-07-09,00:44:13",leo7.,#0,84,,
"2022-07-10,08:14:54",leo7.,#0,85,,
"2022-07-11,06:37:38",leo7.,#0,86,,
"2022-07-12,00:18:39",leo7.,#0,87,,
"2022-07-13,08:17:11",leo7.,#0,88,,
"2022-07-14,08:22:18",leo7.,#0,89,,
"2022-07-15,01:43:46",leo7.,#0,90,,
"2022-07-16,00:44:52",leo7.,#0,91,,
"2022-07-17,08:37:22",leo7.,#0,92,,
"2022-07-19,07:06:50",leo7.,#0,93,,
"2022-07-20,13:26:31",leo7.,#0,94,,
"2022-07-21,00:10:21",leo7.,#0,95,,
"2022-07-23,09:26:08",leo7.,#0,96,,
"2022-07-24,09:37:11",leo7.,#0,97,,
"2022-07-26,00:48:16",leo7.,#0,98,,
"2022-07-27,17:52:05",leo7.,#0,99,,
"2022-07-28,09:49:27",leo7.,#0,100,,
"2022-07-29,01:22:18",leo7.,#0,101,,
"2022-07-30,12:51:58",fameldin,#0,"Our whole universe was in a hot, dense state
Then nearly fourteen billion years ago expansion started, wait
The earth began to cool, the autotrophs began to drool
Neanderthals developed tools
We built a wall (we built the pyramids)
Math, science, history, unraveling the mysteries
That all started with the big bang (bang)",leo7.#0,
"2022-07-30,12:52:07",leo7.,#0,102,,
"2022-07-31,10:36:51",leo7.,#0,103,,
"2022-08-01,00:34:10",leo7.,#0,104,,
"2022-08-02,10:07:43",leo7.,#0,105,,
"2022-08-03,01:04:52",leo7.,#0,106,,
"2022-08-04,00:28:13",leo7.,#0,107,,
"2022-08-06,00:14:19",leo7.,#0,108,,
"2022-08-08,01:14:30",leo7.,#0,109,,
"2022-08-09,01:53:41",leo7.,#0,110,,
"2022-08-10,00:11:18",leo7.,#0,111,,
"2022-08-10,00:18:47",_tybg,#0,⏲️ 🐦 🪱,,
"2022-08-11,01:03:44",leo7.,#0,112,,
"2022-08-12,00:03:18",leo7.,#0,113,,
"2022-08-13,10:06:47",leo7.,#0,114,,
"2022-08-14,00:26:52",leo7.,#0,115,,
"2022-08-15,16:51:35",leo7.,#0,116,,
"2022-08-16,08:02:47",leo7.,#0,117,,
"2022-08-17,00:00:50",leo7.,#0,118,,
"2022-08-18,00:00:30",leo7.,#0,119,,
"2022-08-19,01:14:36",leo7.,#0,120,,
"2022-08-20,01:27:40",leo7.,#0,121,,
"2022-08-21,10:15:21",leo7.,#0,122,,
"2022-08-22,00:31:43",leo7.,#0,123,,
"2022-08-23,00:21:35",leo7.,#0,124,,
"2022-08-24,07:56:49",leo7.,#0,125,,
"2022-08-24,23:41:30",leo7.,#0,yo in for a treat,,
"2022-08-24,23:41:43",leo7.,#0,time ticks early today,,
"2022-08-24,23:41:46",leo7.,#0,126,,
"2022-08-26,00:45:19",leo7.,#0,127,,
"2022-08-27,00:49:31",leo7.,#0,128,,
"2022-08-28,01:20:22",leo7.,#0,129,,
"2022-08-29,00:00:26",leo7.,#0,130,,
"2022-08-30,03:00:32",leo7.,#0,131,,
"2022-08-31,07:47:49",leo7.,#0,132,,
"2022-09-01,00:33:36",leo7.,#0,133,,
"2022-09-02,00:17:24",leo7.,#0,134,,
"2022-09-03,10:52:17",leo7.,#0,135,,
"2022-09-04,11:07:02",leo7.,#0,136,,
"2022-09-05,00:31:15",leo7.,#0,137,,
"2022-09-06,01:28:31",leo7.,#0,138,,
"2022-09-07,08:53:42",leo7.,#0,139,,
"2022-09-08,01:22:09",leo7.,#0,140,,
"2022-09-09,01:37:34",leo7.,#0,141,,
"2022-09-10,01:08:24",leo7.,#0,142,,
"2022-09-11,00:16:46",leo7.,#0,143,,
"2022-09-13,09:31:49",leo7.,#0,144,,
"2022-09-14,08:30:25",leo7.,#0,145,,
"2022-09-15,00:08:57",leo7.,#0,146,,
"2022-09-16,00:00:12",leo7.,#0,147,,
"2022-09-17,01:02:52",leo7.,#0,148,,
"2022-09-19,14:29:16",leo7.,#0,149,,
"2022-09-20,02:16:03",leo7.,#0,150,,
"2022-09-22,10:28:55",leo7.,#0,151,,
"2022-09-23,02:18:40",leo7.,#0,152,,
"2022-09-24,02:01:38",leo7.,#0,153,,
"2022-09-25,11:26:18",leo7.,#0,154,,
"2022-09-26,12:26:16",leo7.,#0,155,,
"2022-09-27,13:34:19",leo7.,#0,156,,
"2022-09-28,02:59:50",leo7.,#0,157,,
"2022-09-29,07:02:41",leo7.,#0,158,,
"2022-09-30,06:01:55",leo7.,#0,159,,
"2022-10-01,01:34:29",leo7.,#0,160,,
"2022-10-02,11:03:14",leo7.,#0,161,,
"2022-10-03,20:33:11",leo7.,#0,162,,
"2022-10-04,12:34:08",leo7.,#0,163,,
"2022-10-05,01:20:30",leo7.,#0,164,,
"2022-10-06,02:24:19",leo7.,#0,165,,
"2022-10-07,11:54:41",leo7.,#0,166,,
"2022-10-09,07:35:44",leo7.,#0,167,,
"2022-10-10,07:36:27",leo7.,#0,168,,
"2022-10-11,02:13:58",leo7.,#0,169,,
"2022-10-12,09:55:51",leo7.,#0,170,,
"2022-10-13,04:50:23",leo7.,#0,171,,
"2022-10-14,03:26:28",leo7.,#0,172,,
"2022-10-15,03:15:10",leo7.,#0,173,,
"2022-10-16,03:11:05",leo7.,#0,174,,
"2022-10-17,02:03:20",leo7.,#0,175,,
"2022-10-18,01:41:27",leo7.,#0,176,,
"2022-10-19,01:24:55",leo7.,#0,177,,
"2022-10-20,11:00:26",leo7.,#0,178,,
"2022-10-21,11:27:54",leo7.,#0,179,,
"2022-10-22,13:05:01",laxaxl,#0,180,,
"2022-10-22,13:38:26",leo7.,#0,(Guest appearance),,
"2022-10-23,08:07:39",leo7.,#0,181,,
"2022-10-24,00:53:01",leo7.,#0,182,,
"2022-10-25,08:18:03",leo7.,#0,183,,
"2022-10-27,09:07:00",leo7.,#0,184,,
"2022-10-28,10:14:47",leo7.,#0,185,,
"2022-10-29,11:03:27",leo7.,#0,186,,
"2022-10-30,09:15:50",leo7.,#0,187,,
"2022-10-31,00:39:11",leo7.,#0,188,,
"2022-11-01,00:11:49",leo7.,#0,189,,
"2022-11-02,00:01:55",leo7.,#0,190,,
"2022-11-03,01:36:55",leo7.,#0,191,,
"2022-11-04,02:15:53",leo7.,#0,192,,
"2022-11-05,02:24:31",leo7.,#0,193,,
"2022-11-06,02:26:14",leo7.,#0,194,,
"2022-11-07,10:08:26",leo7.,#0,195,,
"2022-11-08,09:10:52",leo7.,#0,196,,
"2022-11-09,07:46:34",leo7.,#0,197,,
"2022-11-10,00:14:17",leo7.,#0,198,,
"2022-11-11,11:12:12",leo7.,#0,199,,
"2022-11-12,07:20:06",leo7.,#0,200,,
"2022-11-13,06:01:27",leo7.,#0,201,,
"2022-11-14,10:19:53",leo7.,#0,202,,
"2022-11-15,02:17:25",leo7.,#0,203,,
"2022-11-16,09:44:47",leo7.,#0,204,,
"2022-11-17,07:56:45",leo7.,#0,205,,
"2022-11-18,08:51:00",leo7.,#0,206,,
"2022-11-19,00:08:35",leo7.,#0,207,,
"2022-11-20,08:59:07",leo7.,#0,208,,
"2022-11-21,00:08:52",leo7.,#0,209,,
"2022-11-22,12:40:32",leo7.,#0,210,,
"2022-11-23,00:03:14",leo7.,#0,211,,
"2022-11-24,01:33:12",leo7.,#0,212,,
"2022-11-26,10:08:19",leo7.,#0,213,,
"2022-11-27,02:22:16",leo7.,#0,214,,
"2022-11-28,02:09:53",leo7.,#0,215,,
"2022-11-29,10:46:41",leo7.,#0,216,,
"2022-12-01,09:41:08",leo7.,#0,217,,
"2022-12-02,00:29:13",leo7.,#0,218,,
"2022-12-03,09:58:44",leo7.,#0,219,,
"2022-12-04,00:25:08",leo7.,#0,220,,
"2022-12-06,08:21:17",leo7.,#0,221,,
"2022-12-07,07:53:44",leo7.,#0,222,,
"2022-12-08,09:10:18",leo7.,#0,223,,
"2022-12-09,08:34:50",leo7.,#0,224,,
"2022-12-10,00:59:41",leo7.,#0,225,,
"2022-12-11,01:52:24",leo7.,#0,226,,
"2022-12-12,00:04:31",leo7.,#0,227,,
"2022-12-13,00:17:22",leo7.,#0,228,,
"2022-12-14,06:05:49",leo7.,#0,229,,
"2022-12-15,16:20:37",leo7.,#0,230,,
"2022-12-16,00:33:39",leo7.,#0,231,,
"2022-12-17,07:11:47",leo7.,#0,232,,
"2022-12-18,20:27:26",leo7.,#0,233,,
"2022-12-19,09:25:56",leo7.,#0,234,,
"2022-12-20,08:28:53",leo7.,#0,235,,
"2022-12-21,10:26:15",leo7.,#0,236,,
"2022-12-22,10:11:15",leo7.,#0,237,,
"2022-12-23,07:47:36",leo7.,#0,238,,
"2022-12-24,07:38:58",leo7.,#0,239,,
"2022-12-25,07:18:09",leo7.,#0,240,,
"2022-12-26,07:44:30",leo7.,#0,241,,
"2022-12-27,09:06:35",leo7.,#0,242,,
"2022-12-29,00:41:13",leo7.,#0,243,,
"2022-12-31,11:12:11",leo7.,#0,244,,
"2023-01-01,00:03:32",leo7.,#0,245,,
"2023-01-02,00:55:45",leo7.,#0,246,,
"2023-01-03,08:38:05",leo7.,#0,247,,
"2023-01-04,08:56:47",leo7.,#0,248,,
"2023-01-05,00:46:46",leo7.,#0,249,,
"2023-01-06,10:24:52",leo7.,#0,250,,
"2023-01-07,08:34:20",leo7.,#0,251,,
"2023-01-08,13:20:03",leo7.,#0,252,,
"2023-01-09,13:02:03",leo7.,#0,253,,
"2023-01-10,00:11:42",leo7.,#0,254,,
"2023-01-11,09:25:03",leo7.,#0,255,,
"2023-01-12,08:35:53",leo7.,#0,256,,
"2023-01-13,01:10:38",leo7.,#0,257,,
"2023-01-14,09:58:49",leo7.,#0,258,,
"2023-01-15,08:18:52",leo7.,#0,259,,
"2023-01-16,09:41:40",leo7.,#0,260,,
"2023-01-17,08:04:11",leo7.,#0,261,,
"2023-01-18,09:46:19",leo7.,#0,262,,
"2023-01-19,11:04:31",leo7.,#0,263,,
"2023-01-20,00:03:56",leo7.,#0,264,,
"2023-01-21,00:17:39",leo7.,#0,265,,
"2023-01-22,00:12:58",leo7.,#0,266,,
"2023-01-23,10:03:07",leo7.,#0,267,,
"2023-01-24,09:22:25",leo7.,#0,268,,
"2023-01-25,09:52:27",leo7.,#0,269,,
"2023-01-26,09:08:23",leo7.,#0,270,,
"2023-01-27,00:49:32",leo7.,#0,271,,
"2023-01-27,23:24:23",leo7.,#0,t197,,
"2023-01-28,09:05:33",leo7.,#0,272,,
"2023-01-29,09:25:51",leo7.,#0,273,,
"2023-01-30,10:37:22",leo7.,#0,274,,
"2023-01-31,08:35:29",leo7.,#0,275,,
"2023-02-01,08:45:53",leo7.,#0,276,,
"2023-02-02,08:14:11",leo7.,#0,277,,
"2023-02-03,10:39:23",leo7.,#0,278,,
"2023-02-04,08:25:54",leo7.,#0,279,,
"2023-02-05,09:43:02",leo7.,#0,280,,
"2023-02-06,00:00:09",leo7.,#0,281,,
"2023-02-07,09:00:58",leo7.,#0,282,,
"2023-02-09,08:55:12",leo7.,#0,283,,
"2023-02-10,07:54:32",leo7.,#0,284,,
"2023-02-11,00:01:17",leo7.,#0,285,,
"2023-02-12,09:13:22",leo7.,#0,286,,
"2023-02-13,22:49:33",leo7.,#0,287,,
"2023-02-14,00:49:14",leo7.,#0,288,,
"2023-02-15,09:37:08",leo7.,#0,289,,
"2023-02-16,00:10:43",leo7.,#0,290,,
"2023-02-17,00:30:27",leo7.,#0,291,,
"2023-02-18,10:06:27",leo7.,#0,292,,
"2023-02-19,06:01:43",leo7.,#0,293,,
"2023-02-20,00:56:16",leo7.,#0,294,,
"2023-02-21,09:41:52",leo7.,#0,295,,
"2023-02-22,07:06:25",leo7.,#0,296,,
"2023-02-23,09:24:46",leo7.,#0,297,,
"2023-02-24,09:40:36",leo7.,#0,298,,
"2023-02-25,08:51:17",leo7.,#0,299,,
"2023-02-26,08:12:37",leo7.,#0,300,,
"2023-02-27,07:14:46",leo7.,#0,301,,
"2023-02-28,00:48:41",leo7.,#0,302,,
"2023-03-01,14:57:19",leo7.,#0,303,,
"2023-03-02,02:24:01",leo7.,#0,304,,
"2023-03-03,08:06:41",leo7.,#0,305,,
"2023-03-04,08:41:01",leo7.,#0,306,,
"2023-03-05,00:40:16",leo7.,#0,307,,
"2023-03-06,09:00:34",leo7.,#0,308,,
"2023-03-07,08:43:07",leo7.,#0,309,,
"2023-03-08,10:07:16",leo7.,#0,310,,
"2023-03-09,13:44:51",leo7.,#0,311,,
"2023-03-10,00:52:21",leo7.,#0,312,,
"2023-03-11,10:08:54",leo7.,#0,313,,
"2023-03-12,10:22:01",leo7.,#0,314,,
"2023-03-13,02:29:51",leo7.,#0,315,,
"2023-03-14,09:49:28",leo7.,#0,316,,
"2023-03-15,00:52:54",leo7.,#0,317,,
"2023-03-16,06:52:19",leo7.,#0,318,,
"2023-03-18,23:41:10",leo7.,#0,319,,
"2023-03-19,08:24:03",leo7.,#0,320,,
"2023-03-20,09:29:03",leo7.,#0,321,,
"2023-03-21,06:55:28",leo7.,#0,322,,
"2023-03-22,00:07:12",leo7.,#0,323,,
"2023-03-23,09:12:41",leo7.,#0,324,,
"2023-03-24,08:27:11",leo7.,#0,325,,
"2023-03-25,09:40:34",leo7.,#0,326,,
"2023-03-26,07:31:22",leo7.,#0,327,,
"2023-03-29,10:45:38",leo7.,#0,328,,
"2023-03-30,07:51:47",leo7.,#0,329,,
"2023-03-31,00:30:55",leo7.,#0,330,,
"2023-04-01,08:10:07",leo7.,#0,331,,
"2023-04-02,19:04:39",leo7.,#0,332,,
"2023-04-03,07:05:31",leo7.,#0,334,,
"2023-04-04,09:37:28",leo7.,#0,335,,
"2023-04-05,06:46:48",leo7.,#0,336,,
"2023-04-06,09:21:22",leo7.,#0,337,,
"2023-04-07,13:59:28",leo7.,#0,338,,
"2023-04-08,07:46:01",leo7.,#0,339,,
"2023-04-09,07:45:35",leo7.,#0,340,,
"2023-04-10,09:08:03",leo7.,#0,341,,
"2023-04-11,08:31:26",leo7.,#0,342,,
"2023-04-12,09:24:43",leo7.,#0,343,,
"2023-04-13,08:28:10",leo7.,#0,344,,
"2023-04-14,12:36:24",leo7.,#0,345,,
"2023-04-15,08:15:03",leo7.,#0,346,,
"2023-04-16,07:17:12",leo7.,#0,347,,
"2023-04-17,08:44:14",leo7.,#0,348,,
"2023-04-18,09:39:34",leo7.,#0,349,,
"2023-04-19,07:47:43",leo7.,#0,350,,
"2023-04-20,09:17:10",leo7.,#0,351,,
"2023-04-21,07:54:47",leo7.,#0,352,,
"2023-04-22,08:35:46",leo7.,#0,353,,
"2023-04-23,07:12:58",leo7.,#0,354,,
"2023-04-24,21:58:20",leo7.,#0,355,,
"2023-04-25,01:21:18",leo7.,#0,356,,
"2023-04-26,10:38:43",leo7.,#0,357,,
"2023-04-27,08:42:27",leo7.,#0,358,,
"2023-04-28,08:53:47",leo7.,#0,359,,
"2023-04-30,08:15:16",leo7.,#0,360,,
"2023-05-01,12:11:19",leo7.,#0,361,,
"2023-05-02,00:09:48",leo7.,#0,362,,
"2023-05-03,09:17:37",leo7.,#0,363,,
"2023-05-04,03:33:31",leo7.,#0,364,,
"2023-05-04,10:34:34",leo7.,#0,365,jink0683#0,
"2023-05-04,10:38:01",jink0683,#0,real count: 386 days,,
"2023-05-06,08:39:17",leo7.,#0,366,,
"2023-05-07,01:43:51",leo7.,#0,367,,
"2023-05-08,12:02:43",leo7.,#0,368,,
"2023-05-09,01:09:26",leo7.,#0,369,,
"2023-05-10,07:43:54",leo7.,#0,370,,
"2023-05-11,11:49:11",leo7.,#0,371,,
"2023-05-12,07:55:19",leo7.,#0,372,,
"2023-05-13,12:15:24",leo7.,#0,373,,
"2023-05-14,11:52:20",leo7.,#0,374,,
"2023-05-15,09:35:38",leo7.,#0,375,,
"2023-05-16,09:11:12",leo7.,#0,376,,
"2023-05-17,10:03:09",leo7.,#0,377,,
"2023-05-18,08:49:38",leo7.,#0,378,,
"2023-05-19,09:39:03",leo7.,#0,379,,
"2023-05-20,09:30:34",leo7.,#0,380,,
"2023-05-21,09:29:16",leo7.,#0,381,,
"2023-05-23,08:45:33",leo7.,#0,382,,
"2023-05-24,07:19:47",leo7.,#0,383,,
"2023-05-25,09:57:54",leo7.,#0,384,,
"2023-05-26,09:50:30",leo7.,#0,385,,
"2023-05-27,00:22:06",leo7.,#0,386,,
"2023-05-28,09:47:04",leo7.,#0,387,,
"2023-05-29,09:54:27",leo7.,#0,388,,
"2023-05-30,00:20:38",leo7.,#0,389,,
"2023-05-31,01:07:15",leo7.,#0,390,,
"2023-06-02,08:36:43",leo7.,#0,391,,
"2023-06-03,09:15:19",leo7.,#0,392,,
"2023-06-05,11:19:53",leo7.,#0,393,,
"2023-06-06,08:14:24",leo7.,#0,394,,
"2023-06-07,06:46:53",leo7.,#0,395,,
"2023-06-08,10:32:11",leo7.,#0,396,,
"2023-06-10,00:01:18",leo7.,#0,397,,
"2023-06-11,07:56:39",leo7.,#0,398,,
"2023-06-12,08:55:14",leo7.,#0,399,,
"2023-06-13,11:01:39",leo7.,#0,400,,
"2023-06-14,10:04:54",leo7.,#0,401,,
"2023-06-15,09:57:17",leo7.,#0,402,,
"2023-06-16,09:53:49",leo7.,#0,403,,
"2023-06-17,20:07:38",leo7.,#0,404,,
"2023-06-18,08:57:33",leo7.,#0,405,,
"2023-06-19,08:30:06",leo7.,#0,406,,
"2023-06-20,01:29:51",leo7.,#0,407,,
"2023-06-20,05:37:36",trent5483,#0,1:29…,,
"2023-06-21,08:37:54",leo7.,#0,408,,
"2023-06-22,01:01:27",leo7.,#0,409,,
"2023-06-23,07:55:04",leo7.,#0,410,,
"2023-06-24,08:34:14",leo7.,#0,411,,
"2023-06-25,06:25:10",leo7.,#0,412,,
"2023-06-26,07:22:51",leo7.,#0,413,,
"2023-06-27,08:16:47",leo7.,#0,414,,
"2023-06-28,07:46:57",leo7.,#0,415,,
"2023-07-01,05:32:37",leo7.,#0,416,,
"2023-07-03,07:05:24",leo7.,#0,417,,
"2023-07-03,07:58:52",jink0683,#0,forgetful,,
"2023-07-04,00:40:29",leo7.,#0,418,,
"2023-07-05,09:18:05",leo7.,#0,419,,
